Fiche technique,Famille,Sous famille
FILET DE COLIN  VAPEUR*/  12/PLAQUES,04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE HOKI /*PDS  (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE HOKI VAPEUR/* 12/PLAQUES,04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE MERLU BLANC,04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE MERLU BLANC */ PDS,04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE SAUMON A/PEAU GRILLE*/ (DF),04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE SAUMON ENTIER */ BOCUSE 13/26/39 (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE TILAPIA  /* (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE TILAPIA */ PDS (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE TRUITE  PDS */ (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE TRUITE AUX AMANDES /* (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
FILET DE TRUITE VAPEUR /* (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
GRATIN DE FRUITS DE MER  */,04-VIANDE/POISSON/OEUF,POISSON CUISINE
HADDOCK SAUCE SAFRANEE (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
MOQUECA */,04-VIANDE/POISSON/OEUF,POISSON CUISINE
MOUCLADE AU CURRY,04-VIANDE/POISSON/OEUF,POISSON CUISINE
MOULES MARINIERES,04-VIANDE/POISSON/OEUF,POISSON CUISINE
MOULES MARINIERES  PDS*/ (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAPILLOTE DE CABILLAUD */,04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAPILLOTE DE SAUMON */,04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE COLIN ALASKA  (DF) */,04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE COLIN ALASKA */ (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE COLIN AUX AMANDES */ PDS,04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE COLIN BORDELAISE (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE COLIN SCE TARTARE (PDS),04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE DE SAUMON A/PEAU GRILLE*/ (150GR) (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE DE SAUMON A/PEAU GRILLE*/ (DF),04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE DE SAUMON PDS /* (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
PAVE DE SAUMON S/S PEAU GRILLE*/ (DF),04-VIANDE/POISSON/OEUF,POISSON CUISINE
POISSON FACON WOK,04-VIANDE/POISSON/OEUF,POISSON CUISINE
QUENELLES SAUCE NANTUA */ (PLAT),04-VIANDE/POISSON/OEUF,POISSON CUISINE
SAUCE AU SAUMON  */,04-VIANDE/POISSON/OEUF,POISSON CUISINE
SOUFFLE DE CABILLAUD */ (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
SOUFFLE DE SAUMON*/ (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
STEAK DE REQUIN,04-VIANDE/POISSON/OEUF,POISSON CUISINE
STEAK DE REQUIN (PDS),04-VIANDE/POISSON/OEUF,POISSON CUISINE
STEAK DE THON  */ PDS   (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
STEAK DE THON VAPEUR /* (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
TRUITE AUX AMANDES /* (BC) PDS,04-VIANDE/POISSON/OEUF,POISSON CUISINE
TRUITE ENTIÈRE/* (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
TRUITE MEUNIÈRE /* (BC),04-VIANDE/POISSON/OEUF,POISSON CUISINE
ACCRAS MORUE PV (10 PIÈCES),04-VIANDE/POISSON/OEUF,POISSON PANE
AIGUILLETTE CROUSTILLANTE COLIN,04-VIANDE/POISSON/OEUF,POISSON PANE
BEIGNET CALAMARS *8,04-VIANDE/POISSON/OEUF,POISSON PANE
BEIGNET CALAMARS PV *8,04-VIANDE/POISSON/OEUF,POISSON PANE
BURGER FISH,04-VIANDE/POISSON/OEUF,POISSON PANE
COLIN PANE  BC,04-VIANDE/POISSON/OEUF,POISSON PANE
COLIN PANE AU CHEDDAR  BC,04-VIANDE/POISSON/OEUF,POISSON PANE
CROCK COLIN 3 CÉRÉALES (BC),04-VIANDE/POISSON/OEUF,POISSON PANE
FILET DE COLIN PANE */ (BC),04-VIANDE/POISSON/OEUF,POISSON PANE
FILET DE POISSON MEUNIERE,04-VIANDE/POISSON/OEUF,POISSON PANE
FILET DE POISSON MEUNIERE*/PDS (BC),04-VIANDE/POISSON/OEUF,POISSON PANE
FISH & CHIPS DE COLIN CITRON */ (BC),04-VIANDE/POISSON/OEUF,POISSON PANE
FISH & CHIPS DE COLIN CITRON */ (PDS),04-VIANDE/POISSON/OEUF,POISSON PANE
FISH & CHIPS TENDER (35GR) */ PV (BC),04-VIANDE/POISSON/OEUF,POISSON PANE
FRITTO MISTO,04-VIANDE/POISSON/OEUF,POISSON PANE
FRITTO MISTO */ PV,04-VIANDE/POISSON/OEUF,POISSON PANE
CASSOULET BRESILIEN CARIOCA,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
CERVELAS ORLOFF,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
COTE DE PORC GRILLEE,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
DIOT AU VIN BLANC,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
ECHINE DE PORC  DEMI SEL*/ (CUITE),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
ECHINE DE PORC ENTIERE*/,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
EMINCE DE PORC GRILLE*/ ,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
ENDIVE AU JAMBON */ (FRAIS),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
GODIVEAUX  GRILLEES PDS 2,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
GODIVEAUX AUX HERBES */,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
JAMBON   HAWAI  */ ,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
JAMBON A GRILLE PDS /*,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
MINI JAMBONNEAU,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
PALETTE A LA DIABLE,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
PALETTE SAUCE MOUTARDE,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
PETIT SALE CUIT,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
PETIT SALE CUIT (PDS),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
PORC AU CARAMEL,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
QUICHE LORRAINE */ PV FT UCP,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
ROTI DE PORC */,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
ROUGAIL SAUCISSE  /*,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAMOUSSA AU PORC PV (3 PAR PERS),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE  EN SCE REPAS ALLEMAND/*,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE DE FRANCFORT */ PDS,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE DE FRANCFORT */(X2),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE DE FRANCFORT*/,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE DE STRASBOURG */(X2),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE DE TOULOUSE,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE DE TOULOUSE  * /PDS,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE DE TOULOUSE GRILLEE */,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE FRANCFORT*/EN CAS SUR EFFECTIF ,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE FUME */ (70 GR),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE MONTBELIARD */ PDS 120 GR,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSE MONTBELIARD */ PDS(X2),04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSON AU BEAUJOLAIS */ ( PLAT )  ,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSON CHAUD  /* PDS ,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUCISSON CHAUD / *,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
SAUTE DE PORC SAUCE MOUTARDE */,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
TRANCHE DE JAMBON GRILLEE /*,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
TRAVERS DE PORC LAQUE,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
VIANDE POUR CHOUCROUTE  */,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
VIANDE POUR CHOUCROUTE PDS,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
VIANDE POUR POTEE 2,04-VIANDE/POISSON/OEUF,PORC CHARCUTERIE/PIECE
CARRY DE PORC,04-VIANDE/POISSON/OEUF,PORC SAUTE/EMINCE
EMINCE DE PORC AIGRE DOUX*/,04-VIANDE/POISSON/OEUF,PORC SAUTE/EMINCE
EMINCE DE PORC SAUCE SOJA*/ (HC),04-VIANDE/POISSON/OEUF,PORC SAUTE/EMINCE
SAUTE DE PORC A L'AIGRE DOUCE*/       ,04-VIANDE/POISSON/OEUF,PORC SAUTE/EMINCE
SAUTE DE PORC AU CARAMEL*/,04-VIANDE/POISSON/OEUF,PORC SAUTE/EMINCE
SAUTE DE PORC COLOMBO/*,04-VIANDE/POISSON/OEUF,PORC SAUTE/EMINCE
AGNEAU A LA PORTUGAISE,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
ASSORTIMENT BOURGUIGNON ,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
ASSORTIMENT BOURGUIGNON 12KG POUR 100,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BAVETTE A L'ECHALOTTE,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BAVETTE GRILLEE/* (DF),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BEEFSTEAK GRILLÉ  30/60/90 (DF),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BLANQUETTE DE VEAU HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BOEUF AUX OIGNONS /* (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BOEUF BOURGUIGNON (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BOEUF BRAISE FLAMANDE  HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BOEUF CHINA  HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
CARPACCIO DE BOEUF  HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
CHX FARCI,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
COTE AGNEAU GRILLEE,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
COTE DE VEAU GRILLEE,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
COTE VEAU GRILLEE  HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
CURRY D'AGNEAU,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
EMINCE DE BOEUF */ PV  (PLANCHA) (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
EMINCE DE BOEUF GRILLE*/  (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
EMINCE DE BOEUF SAUCE SOJA*/ (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
EMINCE DE VEAU */PV PLANCHA,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
EMINCE DE VEAU CREME*/ (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
ENTRECOTE GRILLEE /*,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
ESCALOPE DE VEAU GRILLEE*/ (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
FAUX FILETS GRILLES */ (DF),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
FEIJOADA ( CASSOULET PORTUGAIS  ),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
GOULASH  HONGROISE */,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
MERGUEZ  2 PIECES */,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
MERGUEZ  3 PIECES */,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
MERGUEZ 2 PIECES */ PDS,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
MERGUEZ 3 PIECES */ PDS,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
NAVARIN D'AGNEAU */,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
PALERON DE BOEUF,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
ROTI BOEUF CUIT*/ HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
ROTI DE VEAU BASSE T°C */  (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
SAUTE D'AGNEAU AU CURRY *,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
SAUTE D'AGNEAU PRINTANIER/*,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
SAUTE DE BOEUF CAJUN */ HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
SAUTE DE BOEUF PROVENCALE */ HC,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
SAUTE DE VEAU AU ROMARIN*/  (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
SAUTE DE VEAU MARENGO */ (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
TAJINE D'AGNEAU AUX PRUNEAUX */,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
TAJINE D'AGNEAU MAKFOUL (MAROCAIN) */,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
TENDRON DE VEAU /* PDS (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
TENDRON DE VEAU GRILLES/* (HC),04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
VITELLO THONATO,04-VIANDE/POISSON/OEUF,VIANDE BOEUF VEAU AGNEAU
BOULETTES D'AGNEAU GRILLEES,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
BOULETTES DE BOEUF,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
BRICK BOEUF FT UCP HC,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
BURGER AUVERGNAT (48-96),04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
BURGER DIJONNAIS (48-96),04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
CHILI CON CARNE,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
FRICADELLE GRILLEE*/,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
KEFTA BOULETTE AGNEAU (X5) ,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
P0TATOES BURGER/SALADE,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
PAUPIETTE DE VEAU GRILLE */ HC,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
PAUPIETTE DE VEAU GRILLE */ PDS HC,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
PENNES A LA BOLOGNAISE BOX */PV,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
RISSOLETTE DE VEAU */ ,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
RISSOLETTE DE VEAU */ PDS,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
SAMOUSSA  AU  BOEUF (3 PAR PERS) HC,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
SAMOUSSA  AU  BOEUF PV (3 PAR PERS) HC,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
STEAK HACHE GRILLE  */ PDS,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
STEAK HACHE GRILLE (DF) */ ,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
STEAK HACHE GRILLE/*  ,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
TOMATE ET CHOU FARCI,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
TOMATE FARCIE  */  2/PERS,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
TOMATE FARCIE */ PDS,04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
VIANDE COUSCOUS (2B+1M),04-VIANDE/POISSON/OEUF,"VIANDE HACHEE, PIECE"
GIBELOTTE DE LAPIN */ ,05-LAPIN & VOLAILLE,LAPIN 
PAUPIETTE DE LAPIN */ PDS,05-LAPIN & VOLAILLE,LAPIN 
PAUPIETTE DE LAPIN GRILLE */ ,05-LAPIN & VOLAILLE,LAPIN 
PAUPIETTE DE POULET GRILLEE*/,05-LAPIN & VOLAILLE,LAPIN 
RABLE DE LAPIN SCE CHASSEUR*/,05-LAPIN & VOLAILLE,LAPIN 
BURGER AU POULET,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
CHICKEN NUGGETS (SURG),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
CHICKEN WINGS,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
CORDON BLEU (BC),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
CORDON BLEU PV (BC),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
ESCALOPE DE DINDE PANEE,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
ESCALOPE DE DINDE PANEE */ (DF),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
ESCALOPE DE DINDE PANEE */ PDS,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
GOUJON DE POULET,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
GOUJON DE POULET /*(4*) PV,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
MORCEAUX DE POULET S/S OS (4 PIÈCES),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
NEMS A LA VOLAILLE */ (2 PAR PERS),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
NUGGET'S POULET,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
NUGGET'S POULET (PV),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
NUGGET'S POULET FRAIS (PV),05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
NUGGETS POULET FRAIS,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
SAUTE DE VOLAILLE AU CIDRE */,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
SAUTE DE VOLAILLE AU CURRY */,05-LAPIN & VOLAILLE,"VOLAILLE PIECE,ROTI ,PANE"
AIGUILLETTE DE POULET PV (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BLANC DE POULET GRILLE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BLANC DE POULET GRILLE (DF),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BLANC POULET AU LAIT COCO,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BLANQUETTE DINDE A L'ANCIENNE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE  DINDE PROVENCALE  (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DE DINDE ORIENTALE  (SURG) (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE CHINOISE (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE CHINOISE PV,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE INDIENNE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE INDIENNE PV (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE MEDITERR (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE MEDITERR PV,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE MEXICAINE (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE MEXICAINE (SURG) (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE MEXICAINE PV (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE NATURE (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE NATURE PV (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
BROCHETTE DINDE PROVENCALE PV (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CARRY POULET,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CIVET DE CANETTE  (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
COLOMBO POULET,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
COQUELET 1/2 GRILLE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
COTELETTE DE DINDE GRILLEE  1PCE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
COTELETTE DE DINDE GRILLEE DF,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/CANARD GRILLEE SURG,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/CANETTE FRAICHE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/CANETTE GRILLEE FRAICHE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/CANETTE GRILLEE SURG,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/CANETTE LAQUÉ,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/PINTADE GRILLEE (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/POULE CONFITE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/POULET A L'ESTRAGON,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/POULET GRILLEE (BBC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
CUISSE/POULET TANDOORI,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
EFFILOCHE DE POULET (BASE),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
EFFILOCHE DE POULET (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ESCALOPE DE DINDE GRILLEE */,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ESCALOPE DE DINDE GRILLEE */ (DF),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ESCALOPE DE VOLAILLE GRILLÉE */,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ESCALOPE DINDE CREOLE (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
HAUT DE CUISSE DE POULET,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
MAGRET DE CANARD A LA PLANCHA */ PV  (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
MAGRET DE CANARD AUX FRUITS DE LA PASSION,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
MAGRET DE CANARD GRILLE  /* (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
MAGRET DE CANARD GRILLE  /*PDS (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
MANCHON DE POULET PAPRIKA,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
MANCHONS POULET ROTI AU CUMIN,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
MINI ROTI DE CHAPON MARINE,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
NEM VOLAILLE */ PV (2* PERS),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
OSSO BUCO DE DINDE */,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
PAPILLOTE DE POULET A LA MOUTARDE */ (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
PAPILLOTE DE POULET TOMATE MOZZARELLA */ (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
PAPILLOTE POULET AUX COURGETTES */ (BC) SAISON,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
PAUPIETTE DE VOLAILLE GRILLE */ HC,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
POULET A LA TROPEZIENNE */ (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
POULET CITRON A LA MAROCAINE */ (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
POULET KORMA (INDE)*/  (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
